POINT;X;Y
A;602922;1128234
B;602958;1128318
C;602980;1128400
D;603014;1128478
E;602997;1128589
F;603008;1128589
G;603008;1128689
H;603040;1128757
I;603160;1128708
J;603294;1128658
K;603434;1128628
L;603435;1128508
M;603380;1128336
N;603360;1128267
O;603254;1128221
P;603202;1128189
Q;603119;1128208
R;603018;1128213
S;602950;1128216
